ID,Movie name,Movie languages,Movie countries,Movie genres,Movie release year,averageRating,numVotes,winner,nominated,Movie release era
18053600,La llamada,Spanish Language,Spain,"['Thriller', 'Horror', 'Drama', 'Short Film']",2008.0,6.4,168,0,0,201.0
22224559,The Last Song,English Language,United States of America,"['Coming of age', 'Drama', 'Film adaptation', 'Romantic drama', 'Romance Film', 'Teen']",2010.0,6.0,88272,0,1,197.0
13726036,Fatty's Plucky Pup,Silent film,United States of America,"['Short Film', 'Silent film', 'Indie', 'Black-and-white', 'Comedy']",1915.0,6.1,242,0,0,201.0
7844547,Sleeping Beauties,English Language,United States of America,"['LGBT', 'Short Film', 'Indie', 'Comedy']",1999.0,6.5,220,0,0,200.0
7323666,Gift Wrapped,English Language,United States of America,['Short Film'],1952.0,7.1,21,0,0,197.0
11361551,Brother Orchid,English Language,United States of America,"['Crime Fiction', 'Gangster Film', 'Black-and-white', 'Drama', 'Comedy', 'Crime Comedy']",1940.0,7.0,2853,0,1,195.0
13457871,Father Came Too!,English Language,United Kingdom,['Comedy'],1964.0,6.1,319,0,0,199.0
736262,The Sure Thing,English Language,United States of America,"['Romantic comedy', 'Adventure', 'Road movie', 'Coming of age', 'Comedy', 'Drama', 'Romance Film', 'Teen']",1985.0,7.0,21001,0,0,201.0
2262277,Salaam Bombay!,Hindi Language,France,"['Drama', 'Existentialism', 'Social problem film', 'World cinema', 'Bollywood']",1988.0,7.9,9578,0,0,194.0
24292756,Eyes of a Stranger,English Language,United States of America,"['Thriller', 'Horror', 'Psychological thriller', 'Mystery', 'Crime Thriller', 'Slasher']",1981.0,5.9,2867,0,0,196.0
17839776,The Red Lily,Silent film,United States of America,"['Silent film', 'Drama', 'Black-and-white']",1924.0,7.2,486,0,0,200.0
21234681,Jud Süß,German Language,Nazi Germany,"['Propaganda film', 'Drama']",1940.0,5.1,3225,0,0,200.0
7376439,A Breath of Scandal,English Language,United States of America,"['Romantic drama', 'Romance Film', 'Drama', 'Comedy']",1960.0,5.5,863,0,2,
249406,Holiday Inn,English Language,United States of America,"['Romantic comedy', 'Christmas movie', 'Black-and-white', 'Musical comedy', 'Musical', 'Comedy', 'Romance Film']",1942.0,7.3,15467,0,0,200.0
2295231,A Mom for Christmas,English Language,United States of America,"['Fantasy', 'Comedy']",1990.0,6.5,1130,0,0,197.0
27383563,Looper,English Language,United States of America,"['Science Fiction', 'Action']",2012.0,5.3,25,0,0,200.0
6242699,Recreation,English Language,United States of America,"['Short Film', 'Silent film', 'Indie', 'Black-and-white', 'Comedy']",1914.0,5.0,1126,0,0,200.0
17594183,A Shocking Accident,English Language,United Kingdom,"['Short Film', 'Romance Film', 'Comedy', 'Indie']",1982.0,7.0,73,0,0,191.0
5565338,Stroker Ace,English Language,United States of America,"['Action/Adventure', 'Screwball comedy', 'Action Comedy', 'Sports', 'Comedy', 'Action', 'Auto racing']",1983.0,4.8,3974,0,1,
31149313,Paap Ka Ant,Hindi Language,India,"['Action', 'Drama']",1989.0,4.1,80,0,0,
10990102,The Left Handed Gun,English Language,United States of America,"['Action/Adventure', 'Western', 'Drama', 'Biographical film', 'Black-and-white']",1958.0,6.4,4326,0,0,192.0
11144406,They Met in Bombay,English Language,United States of America,"['Crime Comedy', 'Adventure', 'Black-and-white', 'Drama', 'Comedy', 'Romance Film', 'Action']",1941.0,6.5,1164,1,1,197.0
161877,This Sporting Life,English Language,United Kingdom,"['Kitchen sink realism', 'Sports', 'Drama', 'British New Wave', 'Romantic drama', 'Romance Film']",1963.0,7.5,6664,0,0,195.0
934809,Operation Petticoat,English Language,United States of America,"['Action/Adventure', 'Action', 'Comedy', 'War film']",1959.0,7.2,14623,0,2,201.0
31707381,The Way to the Gold,English Language,United States of America,"['Drama', 'Adventure']",1957.0,6.2,81,0,0,199.0
77639,The Pride of the Yankees,English Language,United States of America,"['Biography', 'Black-and-white', 'Sports', 'Drama', 'Biopic [feature]', 'Biographical film']",1942.0,7.6,11144,1,2,
5080311,The Badlanders,English Language,United States of America,"['Action/Adventure', 'Crime Fiction', 'Western', 'Action', 'Heist']",1958.0,6.4,1547,1,2,
5137345,Ninja III: The Domination,English Language,United States of America,"['Action', 'Martial Arts Film', 'Indie']",1984.0,5.3,4827,0,0,199.0
13508675,Blood Rage,English Language,United States of America,['Slasher'],1987.0,5.8,5014,0,0,199.0
5842466,Show Biz Bugs,English Language,United States of America,"['Short Film', 'Family Film', 'Comedy', 'Animation']",1957.0,7.7,1038,0,0,197.0
3889952,The Manster,English Language,United States of America,"['Monster movie', 'Science Fiction', 'B-movie', 'Creature Film', 'Japanese Movies', 'Horror']",1962.0,5.3,1525,0,0,200.0
7299774,Circus of Horrors,English Language,United Kingdom,"['Crime Fiction', 'Science Fiction', 'Horror', 'Drama', 'Crime Thriller', 'B-movie']",1960.0,6.0,2102,0,0,196.0
6057698,A Man Could Get Killed,Portuguese Language,United States of America,"['Action', 'Comedy', 'Spy']",1966.0,5.8,481,0,2,200.0
